Surf 387 Ave ret.time  49.960 ns, #hopping 0 
Surf 388 Ave ret.time  49.960 ns, #hopping 0 
Surf 389 Ave ret.time  49.960 ns, #hopping 0 
Surf 390 Ave ret.time  49.960 ns, #hopping 0 
Surf 391 Ave ret.time  49.680 ns, #hopping 0 
Surf 392 Ave ret.time  49.960 ns, #hopping 0 
Surf 393 Ave ret.time  49.960 ns, #hopping 0 
Surf 394 Ave ret.time  24.920 ns, #hopping 1 
Surf 395 Ave ret.time  49.960 ns, #hopping 0 
Surf 396 Ave ret.time  16.600 ns, #hopping 2 
Surf 397 Ave ret.time  49.960 ns, #hopping 0 
Surf 398 Ave ret.time  49.960 ns, #hopping 0 
Surf 399 Ave ret.time  49.960 ns, #hopping 0 
Surf 400 Ave ret.time  11.980 ns, #hopping 3 
Surf 401 Ave ret.time  24.100 ns, #hopping 1 
Surf 402 Ave ret.time  49.960 ns, #hopping 0 
Surf 403 Ave ret.time  49.960 ns, #hopping 0 
Surf 404 Ave ret.time  11.800 ns, #hopping 3 
Surf 405 Ave ret.time   4.858 ns, #hopping 8 
Surf 406 Ave ret.time  15.227 ns, #hopping 2 
Surf 407 Ave ret.time  49.960 ns, #hopping 0 
Surf 408 Ave ret.time  49.960 ns, #hopping 0 
Surf 409 Ave ret.time   5.440 ns, #hopping 7 
Surf 410 Ave ret.time  49.960 ns, #hopping 0 
Surf 411 Ave ret.time   9.032 ns, #hopping 4 
Surf 412 Ave ret.time  49.960 ns, #hopping 0 
Surf 413 Ave ret.time  49.960 ns, #hopping 0 
Surf 414 Ave ret.time  49.960 ns, #hopping 0 
Surf 415 Ave ret.time  49.960 ns, #hopping 0 
Surf 416 Ave ret.time  11.350 ns, #hopping 3 
Surf 417 Ave ret.time  49.960 ns, #hopping 0 
Surf 418 Ave ret.time  49.960 ns, #hopping 0 
Surf 419 Ave ret.time  12.400 ns, #hopping 3 
Surf 420 Ave ret.time  49.960 ns, #hopping 0 
Surf 421 Ave ret.time  49.960 ns, #hopping 0 
Surf 422 Ave ret.time  49.960 ns, #hopping 0 
Surf 423 Ave ret.time  49.960 ns, #hopping 0 
Surf 424 Ave ret.time  49.960 ns, #hopping 0 
Surf 425 Ave ret.time  49.960 ns, #hopping 0 
Surf 426 Ave ret.time  49.960 ns, #hopping 0 
Surf 427 Ave ret.time  49.960 ns, #hopping 0 
Surf 428 Ave ret.time  49.960 ns, #hopping 0 
Surf 429 Ave ret.time  49.960 ns, #hopping 0 
Surf 430 Ave ret.time  16.360 ns, #hopping 2 
Surf 431 Ave ret.time  49.960 ns, #hopping 0 
Surf 432 Ave ret.time  49.960 ns, #hopping 0 
Surf 433 Ave ret.time   4.424 ns, #hopping 9 
Surf 434 Ave ret.time   7.867 ns, #hopping 5 
Surf 435 Ave ret.time  24.760 ns, #hopping 1 
Surf 436 Ave ret.time  49.960 ns, #hopping 0 
Surf 437 Ave ret.time  49.960 ns, #hopping 0 
Surf 438 Ave ret.time  15.453 ns, #hopping 2 
Surf 439 Ave ret.time  49.960 ns, #hopping 0 
Surf 440 Ave ret.time  24.960 ns, #hopping 1 
Surf 441 Ave ret.time  49.960 ns, #hopping 0 
Surf 442 Ave ret.time  49.960 ns, #hopping 0 
Surf 443 Ave ret.time  49.960 ns, #hopping 0 
Surf 444 Ave ret.time  49.960 ns, #hopping 0 
Surf 445 Ave ret.time  49.960 ns, #hopping 0 
Surf 446 Ave ret.time   9.496 ns, #hopping 4 
Surf 447 Ave ret.time  16.627 ns, #hopping 2 
Surf 448 Ave ret.time  49.960 ns, #hopping 0 
Surf 449 Ave ret.time  49.960 ns, #hopping 0 
Surf 450 Ave ret.time  49.440 ns, #hopping 0 
Surf 451 Ave ret.time  49.960 ns, #hopping 0 
Surf 452 Ave ret.time  49.960 ns, #hopping 0 
Surf 453 Ave ret.time  49.960 ns, #hopping 0 
Surf 454 Ave ret.time  49.960 ns, #hopping 0 
Surf 455 Ave ret.time  49.960 ns, #hopping 0 
Surf 456 Ave ret.time  49.960 ns, #hopping 0 
Surf 457 Ave ret.time  49.960 ns, #hopping 0 
Surf 458 Ave ret.time  16.200 ns, #hopping 2 
Surf 459 Ave ret.time  49.960 ns, #hopping 0 
Surf 460 Ave ret.time  49.960 ns, #hopping 0 
Surf 461 Ave ret.time  49.960 ns, #hopping 0 
Surf 462 Ave ret.time  49.960 ns, #hopping 0 
Surf 463 Ave ret.time  49.960 ns, #hopping 0 
Surf 464 Ave ret.time  24.840 ns, #hopping 1 
Surf 465 Ave ret.time  11.910 ns, #hopping 3 
Surf 466 Ave ret.time  49.960 ns, #hopping 0 
Surf 467 Ave ret.time  49.960 ns, #hopping 0 
Surf 468 Ave ret.time  49.960 ns, #hopping 0 
Surf 469 Ave ret.time  49.960 ns, #hopping 0 
Surf 470 Ave ret.time  49.960 ns, #hopping 0 
Surf 471 Ave ret.time  11.570 ns, #hopping 3 
Surf 472 Ave ret.time  49.960 ns, #hopping 0 
Surf 473 Ave ret.time  49.960 ns, #hopping 0 
Surf 474 Ave ret.time  49.960 ns, #hopping 0 
Surf 475 Ave ret.time  49.960 ns, #hopping 0 
Surf 476 Ave ret.time  49.960 ns, #hopping 0 
Surf 477 Ave ret.time  49.960 ns, #hopping 0 
Surf 478 Ave ret.time   9.408 ns, #hopping 4 
Surf 479 Ave ret.time   7.307 ns, #hopping 5 
Surf 480 Ave ret.time  16.000 ns, #hopping 2 
Surf 481 Ave ret.time  49.960 ns, #hopping 0 
